FASB157,Net Asset Value,Price Confirm,Asset Liability,Portfolio,Portfolio Name,Value Date,Investment Currency, Quantity , Account Type , Finance Account , FX Rate , Market Price , Book Market Price ,Price Date,Price Source,PM Price Source, Unit Cost , Local Cost , Book Cost Not , Local Mkt Value , Book Mkt Value , Local Cost Not , Book Curr Not , Local Curr Not , Book Unit Cost , Book Accrued Interest , Local Accrued Interest ,Strategy,Custodian Code,Custodian Account,Legal Entity,Investment,Security Description,Base Currency,IG NonIG,Custodian Name,Report Group Name,Source,Last Updated By,Last Updated Date,Top Level SecType,Mid Level SecType,Third Level SecType,FASB157
Level 1,,Confirmed by Admin,Confirmed By Admin,,Fund 1,12/31/2017,CAD       ,3,, N.A. ,0.8,762.02,605.88,12/29/2017,Bloomberg,,,,2900,2900,2900,2900,,,484.73, -   , -   ,,MORGAN STANLEY,,,Position 29,Position 29,USD,Indeterminate,Morgan Stanley,,,,43109.30903,Corporate Equity,Common Stock,Non-US Common Stock,Level 1
Level 1,,Confirmed by Admin,Confirmed By Admin,,Fund 1,12/31/2017,USD       ,-100.00,, N.A. ,1,107.51,107.51,12/29/2017,Bloomberg,,,,3000,3000,3000,3000,,,104.33, -   , -   ,,_WELLS_FARGO_CASH,,,Position 30,Position 30,USD,Indeterminate,_WELLS_FARGO_CASH,,,,43109.30903,Corporate Equity,Common Stock,US Common Stock,Level 1
Level 1,,Confirmed by Admin,Confirmed By Admin,,Fund 1,12/31/2017,USD       ,338.00,, N.A. ,1,192.43,192.43,12/29/2017,Bloomberg,,,,3100,3100,3100,3100,,,136.54, -   , -   ,,CREDIT SUISSE,,,Position 31,Position 31,USD,Indeterminate,Credit Suisse,,,,43109.30903,Corporate Equity,Common Stock,US Common Stock,Level 1
Level 1,,Confirmed by Admin,Confirmed By Admin,,Fund 1,12/31/2017,USD       ,90.00,, N.A. ,1,223.66,223.66,12/29/2017,Bloomberg,,,,3200,3200,3200,3200,,,216.17, -   , -   ,,MORGAN STANLEY,,,Position 32,Position 32,USD,Indeterminate,Morgan Stanley,,,,43109.30903,Corporate Equity,Common Stock,US Common Stock,Level 1
Level 3,,Not Confirmed by Admin,Not Confirmed by Admin,,Fund 1,12/31/2017,USD       ,67.00,, N.A. ,1,4.52,4.52,12/29/2017,Bloomberg,,,,3300,3300,3300,3300,,,37.61, -   , -   ,,OTHER,,,Position 33,Position 33,USD,Indeterminate,Other,,,,43109.33194,Corporate Equity,Fund,Fund - Private Placement,Level 3
Level 1,,Confirmed by Admin,Confirmed By Admin,,Fund 1,12/31/2017,EUR       ,85.00,, N.A. ,1.2,167.15,200.62,12/29/2017,Bloomberg,,,,3400,3400,3400,3400,,,147.64, -   , -   ,,CITIGROUP,,,Position 34,Position 34,USD,Indeterminate,CitiGroup,,,,43109.30903,Corporate Equity,Common Stock,Non-US Common Stock,Level 1
Level 1,,Confirmed by Admin,Confirmed By Admin,,Fund 1,12/31/2017,USD       ,"-2,187.00",, N.A. ,1,3.96,3.96,12/29/2017,Bloomberg,,,,3500,3500,3500,3500,,,4.11, -   , -   ,,CITIGROUP,,,Position 35,Position 35,USD,Indeterminate,CitiGroup,,,,43109.30903,Corporate Equity,Common Stock,US Common Stock,Level 1
Level 2,,Confirmed by Admin,Confirmed By Admin,,Fund 1,12/31/2017,USD       ,"28,274.00",, N.A. ,1,98.06,98.06,12/29/2017,Bloomberg,,,,3600,3600,3600,3600,,,109.89,-942.47,-942.47,,CITIGROUP,,,Position 36,Position 36,USD,Indeterminate,CitiGroup,,,,43109.33403,OTC Derivative Contracts,Credit Derivatives,CDS - New,Level 2
Level 1,,Confirmed by Admin,Confirmed By Admin,,Fund 1,12/31/2017,CAD       ,35.00,, N.A. ,0.8,762.02,605.88,12/29/2017,Bloomberg,,,,3700,3700,3700,3700,,,409.93, -   , -   ,,CREDIT SUISSE,,,Position 37,Position 37,USD,Indeterminate,Credit Suisse,,,,43109.30903,Corporate Equity,Common Stock,Non-US Common Stock,Level 1
Level 1,,Confirmed by Admin,Confirmed By Admin,,Fund 1,12/31/2017,USD       ,75.00,, N.A. ,1,223.66,223.66,12/29/2017,Bloomberg,,,,3800,3800,3800,3800,,,221.24, -   , -   ,,CREDIT SUISSE,,,Position 38,Position 38,USD,Indeterminate,Credit Suisse,,,,43109.30903,Corporate Equity,Common Stock,US Common Stock,Level 1
Level 1,,Confirmed by Admin,Confirmed By Admin,,Fund 1,12/31/2017,EUR       ,137.00,, N.A. ,1.2,167.15,200.62,12/29/2017,Bloomberg,,,,3900,3900,3900,3900,,,195.12, -   , -   ,,MORGAN STANLEY,,,Position 39,Position 39,USD,Indeterminate,Morgan Stanley,,,,43109.30903,Corporate Equity,Common Stock,Non-US Common Stock,Level 1
Level 3,,Not Confirmed by Admin,Not Confirmed by Admin,,Fund 1,12/31/2017,USD       ,253.00,, N.A. ,1,0.21,0.21,12/29/2017,Bloomberg,,,,4000,4000,4000,4000,,, -   , -   , -   ,,OTHER,,,Position 40,Position 40,USD,Indeterminate,Other,,,,43109.33194,Corporate Equity,Fund,Fund - Private Placement,Level 3
Cash and Other Assets/Liabilities,,Confirmed by Admin,Confirmed By Admin,,Fund 1,12/31/2017,USD       ,"-1,493.00",, Accrued Advisory Fee Payable ,1,1,1,12/29/2017,Bloomberg,,,,4100,4100,4100,4100,,,1, -   , -   ,,MORGAN STANLEY,,,Position 41,Position 41,USD,Indeterminate,Morgan Stanley,,,,43109.32708,Currency,Currency,Currency,Cash and Other Assets/Liabilities
Level 1,,Confirmed by Admin,Confirmed By Admin,,Fund 1,12/31/2017,USD       ,228.00,, N.A. ,1,154.68,154.68,12/29/2017,Bloomberg,,,,4200,4200,4200,4200,,,132.23, -   , -   ,,MORGAN STANLEY,,,Position 42,Position 42,USD,Indeterminate,Morgan Stanley,,,,43109.30903,Corporate Equity,Common Stock,US Common Stock,Level 1
Level 2,,Confirmed by Admin,Confirmed By Admin,,Fund 1,12/31/2017,USD       ,"13,270.00",, N.A. ,1,97.95,97.95,12/29/2017,Bloomberg,,,,4300,4300,4300,4300,,,119.2,-442.33,-442.33,,GOLDMAN SACHS,,,Position 43,Position 43,USD,Indeterminate,Goldman Sachs,,,,43109.33403,OTC Derivative Contracts,Credit Derivatives,CDS - New,Level 2
Cash and Other Assets/Liabilities,,Confirmed by Admin,Confirmed By Admin,,Fund 1,12/31/2017,USD       ,7,, Cash ,1,1,1,12/29/2017,Bloomberg,,,,4400,4400,4400,4400,,,1, -   , -   ,,MORGAN STANLEY,,,Position 44,Position 44,USD,Indeterminate,Morgan Stanley,,,,43109.32708,Currency,Currency,Currency,Cash and Other Assets/Liabilities
Level 1,,Confirmed by Admin,Confirmed By Admin,,Fund 1,12/31/2017,USD       ,-153.00,, N.A. ,1,82.84,82.84,12/29/2017,Bloomberg,,,,4500,4500,4500,4500,,,61.14, -   , -   ,,_WELLS_FARGO_CASH,,,Position 45,Position 45,USD,Indeterminate,_WELLS_FARGO_CASH,,,,43109.30903,Corporate Equity,Common Stock,US Common Stock,Level 1
Cash and Other Assets/Liabilities,,Confirmed by Admin,Confirmed By Admin,,Fund 1,12/31/2017,USD       ,-1,, Bank Fee Payable ,1,1,1,12/29/2017,Bloomberg,,,,4600,4600,4600,4600,,,1, -   , -   ,,_STATE STREET SVC,,,Position 46,Position 46,USD,Indeterminate,_STATE STREET SVC,,,,43109.32708,Currency,Currency,Currency,Cash and Other Assets/Liabilities
Level 1,,Confirmed by Admin,Confirmed By Admin,,Fund 1,12/31/2017,USD       ,-171.00,, N.A. ,1,67.98,67.98,12/29/2017,Bloomberg,,,,4700,4700,4700,4700,,,70.05, -   , -   ,,CITIGROUP,,,Position 47,Position 47,USD,Indeterminate,CitiGroup,,,,43109.30903,Corporate Equity,Common Stock,US Common Stock,Level 1
Level 1,,Confirmed by Admin,Confirmed By Admin,,Fund 1,12/31/2017,USD       ,-20.00,, N.A. ,1,0.85,0.85,12/29/2017,Bloomberg,,,,4800,4800,4800,4800,,,"1,210.91", -   , -   ,,MORGAN STANLEY,,,Position 48,Position 48,USD,Indeterminate,Morgan Stanley,,,,43109.30903,Corporate Equity,Common Stock,US Common Stock,Level 1
Cash and Other Assets/Liabilities,,Confirmed by Admin,Confirmed By Admin,,Fund 1,12/31/2017,USD       ,0,, Accrued Interest Payable - Broker ,1,1,1,12/29/2017,Bloomberg,,,,4900,4900,4900,4900,,,1, -   , -   ,,CREDIT SUISSE,,,Position 49,Position 49,USD,Indeterminate,Credit Suisse,,,,43109.32708,Currency,Currency,Currency,Cash and Other Assets/Liabilities
Level 1,,Confirmed by Admin,Confirmed By Admin,,Fund 1,12/31/2017,USD       ,-129.00,, N.A. ,1,16.14,16.14,12/29/2017,Bloomberg,,,,5000,5000,5000,5000,,,21.72, -   , -   ,,_WELLS_FARGO_CASH,,,Position 50,Position 50,USD,Indeterminate,_WELLS_FARGO_CASH,,,,43109.30903,Corporate Equity,Common Stock,US Common Stock,Level 1
Cash and Other Assets/Liabilities,,Confirmed by Admin,Confirmed By Admin,,Fund 1,12/31/2017,EUR       ,"-1,588.00",, Cash ,1.2,1.2,1.2,12/29/2017,Bloomberg,,,,5100,5100,5100,5100,,,1.17, -   , -   ,,CITIGROUP,,,Position 51,Position 51,USD,Indeterminate,CitiGroup,,,,43109.32708,Currency,Currency,Currency,Cash and Other Assets/Liabilities
Cash and Other Assets/Liabilities,,Confirmed by Admin,Confirmed By Admin,,Fund 1,12/31/2017,USD       ,-273.00,, DividendsPayable ,1,1,1,12/29/2017,Bloomberg,,,,5200,5200,5200,5200,,,1, -   , -   ,,MORGAN STANLEY,,,Position 52,Position 52,USD,Indeterminate,Morgan Stanley,,,,43109.32708,Currency,Currency,Currency,Cash and Other Assets/Liabilities
Level 1,,Confirmed by Admin,Confirmed By Admin,,Fund 1,12/31/2017,USD       ,-77.00,, N.A. ,1,96.02,96.02,12/29/2017,Bloomberg,,,,5300,5300,5300,5300,,,83.08, -   , -   ,,CREDIT SUISSE,,,Position 53,Position 53,USD,Indeterminate,Credit Suisse,,,,43109.30903,Corporate Equity,Common Stock,US Common Stock,Level 1
Cash and Other Assets/Liabilities,,Confirmed by Admin,Confirmed By Admin,,Fund 1,12/31/2017,USD       ,23.00,, Due From Affiliate ,1,1,1,12/29/2017,Bloomberg,,,,5400,5400,5400,5400,,,1, -   , -   ,,_STATE STREET SVC,,,Position 54,Position 54,USD,Indeterminate,_STATE STREET SVC,,,,43109.32708,Currency,Currency,Currency,Cash and Other Assets/Liabilities
Cash and Other Assets/Liabilities,,Confirmed by Admin,Confirmed By Admin,,Fund 1,12/31/2017,USD       ,16.00,, Accrued Audit and Tax Fees Payable ,1,1,1,12/29/2017,Bloomberg,,,,5500,5500,5500,5500,,,1, -   , -   ,,_CITIBANK PHARMA,,,Position 55,Position 55,USD,Indeterminate,_Citibank Pharma,,,,43109.32708,Currency,Currency,Currency,Cash and Other Assets/Liabilities
Level 1,,Confirmed by Admin,Confirmed By Admin,,Fund 1,12/31/2017,USD       ,-191.00,, N.A. ,1,101.91,101.91,12/29/2017,Bloomberg,,,,5600,5600,5600,5600,,,101.69, -   , -   ,,_WELLS_FARGO_CASH,,,Position 56,Position 56,USD,Indeterminate,_WELLS_FARGO_CASH,,,,43109.30903,Corporate Equity,Common Stock,US Common Stock,Level 1
Level 1,,Confirmed by Admin,Confirmed By Admin,,Fund 1,12/31/2017,EUR       ,-562.00,, N.A. ,1.2,28.71,34.45,12/29/2017,Bloomberg,,,,5700,5700,5700,5700,,,32.67, -   , -   ,,CITIGROUP,,,Position 57,Position 57,USD,Indeterminate,CitiGroup,,,,43109.30903,Corporate Equity,Common Stock,Non-US Common Stock,Level 1
Cash and Other Assets/Liabilities,,Confirmed by Admin,Confirmed By Admin,,Fund 1,12/31/2017,USD       ,-49.00,, DividendsPayable ,1,1,1,12/29/2017,Bloomberg,,,,5800,5800,5800,5800,,,1, -   , -   ,,MORGAN STANLEY,,,Position 58,Position 58,USD,Indeterminate,Morgan Stanley,,,,43109.32708,Currency,Currency,Currency,Cash and Other Assets/Liabilities
Level 1,,Confirmed by Admin,Confirmed By Admin,,Fund 1,12/31/2017,USD       ,-372.00,, N.A. ,1,42.22,42.22,12/29/2017,Bloomberg,,,,5900,5900,5900,5900,,,40.55, -   , -   ,,_WELLS_FARGO_CASH,,,Position 59,Position 59,USD,Indeterminate,_WELLS_FARGO_CASH,,,,43109.30903,Corporate Equity,Common Stock,US Common Stock,Level 1
Level 3,,Not Confirmed by Admin,Not Confirmed by Admin,,Fund 1,12/31/2017,USD       ,498.00,, N.A. ,1,0.14,0.14,12/29/2017,Bloomberg,,,,6000,6000,6000,6000,,,0.18, -   , -   ,,OTHER,,,Position 60,Position 60,USD,Indeterminate,Other,,,,43109.33194,Corporate Equity,Fund,Fund - Private Placement,Level 3
Level 2,,Confirmed by Admin,Confirmed By Admin,,Fund 1,12/31/2017,USD       ,191.00,, N.A. ,1,17.26,17.26,12/29/2017,Bloomberg,,,,6100,6100,6100,6100,,, -   , -   , -   ,,CREDIT SUISSE,,,Position 61,Position 61,USD,Indeterminate,Credit Suisse,,,,43109.33611,OTC Derivative Contracts,Total Return Swap,TR Swap - Single Name Equity,Level 2
Level 1,,Confirmed by Admin,Confirmed By Admin,,Fund 1,12/31/2017,USD       ,-30.00,, N.A. ,1,138.78,138.78,12/29/2017,Bloomberg,,,,6200,6200,6200,6200,,,140.29, -   , -   ,,CITIGROUP,,,Position 62,Position 62,USD,Indeterminate,CitiGroup,,,,43109.30903,Corporate Equity,Common Stock,US Common Stock,Level 1
Level 1,,Confirmed by Admin,Confirmed By Admin,,Fund 1,12/31/2017,EUR       ,41.00,, N.A. ,1.2,33,39.61,12/29/2017,Bloomberg,,,,6300,6300,6300,6300,,,29.17, -   , -   ,,MORGAN STANLEY,,,Position 63,Position 63,USD,Indeterminate,Morgan Stanley,,,,43109.30903,Corporate Equity,Common Stock,Non-US Common Stock,Level 1
Level 2,,Confirmed by Admin,Confirmed By Admin,,Fund 1,12/31/2017,USD       ,3,, N.A. ,1,0.03,0.03,12/29/2017,Bloomberg,,,,6400,6400,6400,6400,,,0.12, -   , -   ,,MORGAN STANLEY,,,Position 64,Position 64,USD,Indeterminate,Morgan Stanley,,,,43109.33611,OTC Derivative Contracts,OTC Equity Option,OTC Equity Option - Single Name,Level 2
Cash and Other Assets/Liabilities,,Confirmed by Admin,Confirmed By Admin,,Fund 1,12/31/2017,USD       ,374.00,, Redemption Payable ,1,1,1,12/29/2017,Bloomberg,,,,6500,6500,6500,6500,,,1, -   , -   ,,CITIBANK_CHECKING,,,Position 65,Position 65,USD,Indeterminate,Citibank_Checking,,,,43109.32708,Currency,Currency,Currency,Cash and Other Assets/Liabilities
Level 1,,Confirmed by Admin,Confirmed By Admin,,Fund 1,12/31/2017,USD       ,"2,098.00",, N.A. ,1,13.33,13.33,12/29/2017,Bloomberg,,,,6600,6600,6600,6600,,,8.68, -   , -   ,,MORGAN STANLEY,,,Position 66,Position 66,USD,Indeterminate,Morgan Stanley,,,,43109.30903,Corporate Equity,Common Stock,US Common Stock,Level 1
Cash and Other Assets/Liabilities,,Confirmed by Admin,Confirmed By Admin,,Fund 1,12/31/2017,JPY       ,0,, Cash ,0.01,0.01,0.01,12/29/2017,Bloomberg,,,,6700,6700,6700,6700,,,0.01, -   , -   ,,CREDIT SUISSE,,,Position 67,Position 67,USD,Indeterminate,Credit Suisse,,,,43109.32708,Currency,Currency,Currency,Cash and Other Assets/Liabilities
Level 1,,Confirmed by Admin,Confirmed By Admin,,Fund 1,12/31/2017,USD       ,-52.00,, N.A. ,1,82.5,82.5,12/29/2017,Bloomberg,,,,6800,6800,6800,6800,,,81.57, -   , -   ,,MORGAN STANLEY,,,Position 68,Position 68,USD,Indeterminate,Morgan Stanley,,,,43109.30903,Corporate Equity,Common Stock,US Common Stock,Level 1
Level 1,,Confirmed by Admin,Confirmed By Admin,,Fund 1,12/31/2017,USD       ,312.00,, N.A. ,1,31.44,31.44,12/29/2017,Bloomberg,,,,6900,6900,6900,6900,,,23.75, -   , -   ,,STATE STREET,,,Position 69,Position 69,USD,Indeterminate,State Street,,,,43109.30903,Corporate Equity,Common Stock,US Common Stock,Level 1
Level 2,,Confirmed by Admin,Confirmed By Admin,,Fund 1,12/31/2017,USD       ,"2,115.00",, N.A. ,1,17.26,17.26,12/29/2017,Bloomberg,,,,7000,7000,7000,7000,,, -   , -   , -   ,,CITIGROUP,,,Position 70,Position 70,USD,Indeterminate,CitiGroup,,,,43109.33611,OTC Derivative Contracts,Total Return Swap,TR Swap - Single Name Equity,Level 2
